Season,Season,Name,Level,Age,PA,BB%,K%,ISO,GB%,wRC+
75,2025,Carlos Pérez,AAA,34,465,11.00%,16.60%,0.286,31.60%,138
76,2025,BJ Murray,AA,25,537,15.50%,19.20%,0.176,37.20%,138
77,2025,Kyler Fedko,AA,25,379,15.30%,20.80%,0.24,31.60%,138
78,2025,Fredderick Ovalle,DSL,18,182,18.10%,13.20%,0.129,47.00%,137
79,2025,John Peck,A+,22,412,7.80%,25.20%,0.144,44.50%,137
80,2025,Esteury Ruiz,AAA,26,485,13.00%,17.90%,0.211,45.20%,137
81,2025,Jonathan Rangel,DSL,18,159,19.50%,17.60%,0.212,33.00%,137
82,2025,Randy Guzman,CPX,20,178,8.40%,18.50%,0.192,42.10%,137
83,2025,Gabriel Davalillo,DSL,17,169,13.60%,12.40%,0.216,44.70%,136
84,2025,Anderson Araujo,DSL,17,183,10.40%,20.20%,0.239,39.80%,136
85,2025,Scott Bandura,A+,23,373,11.80%,24.10%,0.132,44.50%,136
86,2025,Akil Baddoo,AAA,26,457,14.90%,24.50%,0.203,38.50%,136
87,2025,Ruben Ibarra,AA,26,400,11.80%,25.80%,0.238,37.50%,136
88,2025,Ramon Mendoza,AA,24,404,14.90%,19.80%,0.177,37.50%,136
89,2025,Tyler Locklear,AAA,24,434,10.80%,21.90%,0.225,49.30%,136
90,2025,Jose Gonzalez,DSL,20,177,24.30%,23.20%,0.232,23.50%,136
91,2025,Jhoan De La Cruz,DSL,17,198,23.20%,22.70%,0.101,41.40%,135
92,2025,Dakota Jordan,A,22,416,8.90%,22.80%,0.186,48.10%,135
93,2025,Luis Steven King,DSL,17,154,15.60%,14.90%,0.127,33.00%,135
94,2025,Jude Warwick,CPX,19,192,13.50%,15.60%,0.117,35.60%,135
95,2025,Ronny Ugarte,DSL,20,238,11.80%,16.40%,0.15,47.20%,135
96,2025,Feliz Genao,DSL,17,172,18.60%,22.10%,0.11,41.60%,135
