Season,Season,Name,Level,Age,PA,BB%,K%,ISO,GB%,wRC+
326,2025,Samad Taylor,AAA,26,657,11.10%,18.70%,0.165,45.80%,114
327,2025,Freiker Betencourt,DSL,16,165,17.60%,14.50%,0.136,31.70%,113
328,2025,Romeli Espinosa,DSL,17,168,6.00%,20.20%,0.148,38.20%,113
329,2025,Brennan Milone,AA,24,395,12.90%,22.50%,0.16,33.60%,113
330,2025,Joe Lampe,AA,24,450,10.00%,23.80%,0.163,44.00%,113
331,2025,Eli Serrano III,A+,22,383,13.10%,20.10%,0.136,40.60%,113
332,2025,Eric Hartman,A,19,370,10.00%,23.00%,0.126,46.50%,113
333,2025,Israfell Bautista,DSL,18,218,17.40%,16.10%,0.045,54.00%,113
334,2025,Ramon Peralta,CPX,21,199,13.10%,30.20%,0.182,43.70%,113
335,2025,Charles McAdoo,AA,23,494,9.10%,27.70%,0.166,33.80%,113
336,2025,Jose Escobar,A,20,461,10.20%,20.80%,0.085,47.90%,113
337,2025,Willian Berti,DSL,19,182,17.00%,22.50%,0.167,34.70%,113
338,2025,Walker Janek,A+,22,399,7.50%,26.60%,0.17,35.40%,113
339,2025,Edgar Walker,DSL,17,171,11.70%,18.70%,0.103,56.60%,113
340,2025,Carter Cunningham,A+,24,419,16.00%,32.50%,0.194,29.20%,113
341,2025,Harold Rivas,DSL,17,196,17.90%,17.90%,0.126,52.30%,113
342,2025,Caleb Lomavita,A+,22,409,4.60%,20.30%,0.088,51.40%,112
343,2025,Colton Ledbetter,AA,23,535,9.50%,23.90%,0.114,36.20%,112
344,2025,Charlie Pagliarini,A+,24,501,15.00%,26.50%,0.227,37.40%,112
345,2025,Raimundo De Los Santos,CPX,20,170,15.30%,19.40%,0.049,61.20%,112
346,2025,Francisco Acuna,AA,25,477,11.30%,22.20%,0.106,38.90%,112
347,2025,Josh Moylan,A+,22,452,14.20%,29.60%,0.128,39.30%,112
348,2025,Riley Tirotta,AAA,26,463,11.40%,29.60%,0.149,43.60%,112
349,2025,Cam Cauley,AA,22,490,9.60%,24.70%,0.195,37.10%,112
350,2025,Edwin Rios,AAA,31,546,11.50%,33.00%,0.222,42.80%,112
351,2025,Alex Rodriguez,DSL,17,213,11.70%,12.70%,0.072,35.20%,112
352,2025,Yonatan Henriquez,A,20,405,12.60%,17.80%,0.132,44.70%,112
353,2025,Isaac Ponce,DSL,18,187,12.30%,16.00%,0.162,35.10%,112
354,2025,Logan Wagner,A+,21,533,14.60%,26.30%,0.164,39.10%,111
355,2025,George Lombard Jr.,AA,20,469,13.60%,26.40%,0.143,38.80%,111
356,2025,Nate Nankil,A+,22,369,10.30%,14.40%,0.101,39.00%,111
357,2025,Jesús Bastidas,AAA,26,418,8.40%,23.40%,0.197,30.00%,111
358,2025,Carlos Done,DSL,18,198,13.10%,19.70%,0.157,39.10%,111
359,2025,Nelly Taylor,A+,22,473,17.10%,28.10%,0.133,35.50%,111
360,2025,Eduardo Guillen,DSL,17,165,10.90%,30.90%,0.165,42.50%,111
361,2025,Edgar Lugo,DSL,20,152,5.90%,11.80%,0.074,49.10%,111
362,2025,Jon Jon Gazdar,A+,23,416,8.20%,9.60%,0.05,44.90%,111
363,2025,Liberts Aponte,DSL,17,193,15.00%,18.10%,0.214,44.80%,111
364,2025,Daniel Rodriguez,DSL,17,207,24.20%,19.80%,0.06,59.60%,111
365,2025,Spencer Packard,AAA,27,494,13.00%,13.20%,0.135,38.20%,111
366,2025,Reiner Herrera,CPX,19,173,13.30%,19.10%,0.176,38.10%,111
367,2025,Patrick Clohisy,A+,23,405,11.10%,18.80%,0.082,45.70%,111
368,2025,Justin Capellan,DSL,18,186,14.00%,18.30%,0.188,41.30%,111
369,2025,Darwin Almanzar,DSL,17,176,11.40%,15.90%,0.245,38.30%,111
370,2025,Zach Evans,A,22,430,9.80%,15.60%,0.082,40.90%,111
371,2025,Sebastian Walcott,AA,19,552,12.70%,19.60%,0.131,46.00%,110
372,2025,Adrian Gil,CPX,19,221,10.90%,33.90%,0.202,35.20%,110
373,2025,Shotaro Morii,CPX,18,188,19.10%,25.00%,0.126,38.80%,110
374,2025,Gavin Conticello,AA,22,517,11.40%,21.30%,0.16,41.70%,110
375,2025,Jaron Elkins,A,20,515,8.70%,29.70%,0.15,37.00%,110
376,2025,Angel Feliz,CPX,18,228,13.20%,19.30%,0.093,47.40%,110
377,2025,Dante Nori,A,20,502,13.10%,14.90%,0.118,42.90%,110
378,2025,Ramcell Medina,DSL,17,186,16.70%,14.00%,0.144,39.80%,110
379,2025,Samuel Munoz,A,20,451,14.00%,22.20%,0.163,41.90%,110
380,2025,Jorbit Vivas,AAA,24,459,13.90%,9.80%,0.094,41.40%,110
381,2025,Aidan Longwell,A+,23,516,9.30%,19.20%,0.19,32.40%,110
382,2025,Jaylen Palmer,AA,24,437,12.10%,35.00%,0.093,46.40%,110
383,2025,Arnaldo Lantigua,CPX,19,206,8.70%,21.40%,0.251,43.10%,110
384,2025,Kevin Alcántara,AAA,22,430,11.20%,29.80%,0.203,45.80%,110
385,2025,Eliomar Garces,DSL,17,181,16.00%,12.20%,0.104,38.20%,110
386,2025,Juan Brima,DSL,17,201,17.40%,22.40%,0.095,45.80%,110
387,2025,Leonel Espinoza,A,22,408,7.60%,22.10%,0.1,42.60%,109
388,2025,Kendry Chirinos,A,20,382,12.80%,25.40%,0.115,52.50%,109
389,2025,Sandy Presbot,DSL,17,222,14.40%,21.60%,0.123,43.40%,109
390,2025,Dariel Garcia,DSL,18,190,14.70%,22.60%,0.089,50.00%,109
391,2025,Juan Matheus,A,21,394,12.20%,18.80%,0.098,39.10%,109
392,2025,Blake Rambusch,AA,25,393,11.50%,15.50%,0.062,53.60%,109
393,2025,Nick Schnell,AAA,25,402,9.20%,33.80%,0.246,32.70%,109
394,2025,Isaiah Drake,A,19,364,10.70%,22.50%,0.103,42.60%,109
395,2025,Edgar Alvarez,A+,24,438,11.90%,21.50%,0.117,40.60%,109
396,2025,Raider Tello,A,24,398,8.00%,23.40%,0.121,45.20%,109
397,2025,Ryan Galanie,AA,25,409,7.10%,15.40%,0.121,40.90%,108
398,2025,Dashyll Tejeda,CPX,19,153,11.80%,17.00%,0.055,40.20%,108
399,2025,Oliver Guerrero,DSL,17,195,15.40%,22.10%,0.164,45.50%,108
400,2025,Alejandro Cruz,DSL,18,164,18.90%,22.00%,0.15,25.30%,108
401,2025,Christian Knapczyk,A+,23,424,9.90%,18.60%,0.111,39.60%,108
402,2025,Andrew Pinckney,AAA,24,509,8.60%,29.10%,0.162,50.80%,108
403,2025,Tristin English,AAA,28,417,5.00%,14.90%,0.19,46.10%,108
404,2025,Felnin Celesten,A,19,424,8.70%,22.60%,0.099,45.10%,108
405,2025,T.J. Schofield-Sam,A+,24,442,5.40%,21.30%,0.12,43.10%,108
406,2025,Ethan Wagner,CPX,19,153,12.40%,24.20%,0.145,49.40%,108
407,2025,Erny Orellana,DSL,18,160,15.00%,21.30%,0.169,35.20%,108
408,2025,Geraldo Quintero,AA,23,399,13.00%,21.80%,0.146,39.30%,108
409,2025,David Carrera,DSL,18,167,20.40%,22.20%,0.07,42.00%,108
410,2025,Dorian Soto,DSL,17,176,8.50%,14.80%,0.121,38.70%,108
411,2025,Austin Gauthier,AAA,26,478,19.50%,19.20%,0.095,54.00%,108
412,2025,Chad Stevens,AAA,26,528,11.00%,22.20%,0.19,38.80%,107
413,2025,Kyle DeBarge,A+,21,543,12.90%,22.30%,0.124,42.50%,107
414,2025,Joe Mack,AAA,22,412,8.50%,27.90%,0.209,37.50%,107
415,2025,Dylan Dreiling,A+,22,483,12.00%,20.90%,0.155,35.00%,107
416,2025,Yassel Pena,DSL,17,166,22.90%,18.10%,0.081,37.40%,107
417,2025,Tristan Peters,AAA,25,555,11.70%,18.40%,0.164,36.90%,107
418,2025,Yassel Soler,A,19,403,10.40%,22.30%,0.155,47.00%,107
419,2025,Cooper Pratt,AA,20,527,12.70%,15.20%,0.11,40.70%,107
420,2025,Keston Hiura,AAA,28,445,10.60%,27.60%,0.235,37.50%,107
421,2025,Franklin Arias,A+,19,392,8.20%,8.90%,0.115,46.80%,107
422,2025,Braylin Tavera,A,20,443,13.10%,30.50%,0.11,36.60%,107
423,2025,Edwin Arroyo,AA,21,521,7.70%,16.90%,0.086,50.80%,107
424,2025,Hendry Arvelo,DSL,18,160,18.10%,15.00%,0.039,49.50%,107
425,2025,Dustin Harris,AAA,25,425,10.40%,17.40%,0.151,37.20%,107
426,2025,Diego Velasquez,AA,21,566,12.40%,14.30%,0.059,46.20%,107
427,2025,Stiven Martinez,CPX,17,191,17.30%,28.30%,0.145,39.20%,107
428,2025,Manuel Almeida,DSL,17,169,9.50%,27.20%,0.193,44.40%,106
429,2025,Justin Janas,A+,24,354,6.20%,16.90%,0.077,51.00%,106
430,2025,Francisco Loreto,CPX,18,193,9.80%,23.80%,0.16,46.60%,106
431,2025,Kelvin Alcantara,CPX,19,235,11.50%,19.10%,0.136,41.80%,106
432,2025,MJ Melendez,AAA,26,480,8.10%,28.10%,0.229,33.60%,106
433,2025,Jackson Castillo,A+,22,406,11.80%,20.00%,0.094,42.60%,106
434,2025,Ian Petrutz,A+,22,371,10.80%,13.20%,0.104,46.60%,106
435,2025,Eybert Sanchez,DSL,17,221,19.50%,12.20%,0.029,42.60%,106
436,2025,Cole Carrigg,AA,23,537,8.40%,27.00%,0.157,41.40%,106
437,2025,Tucker Toman,A,21,371,9.70%,24.80%,0.115,41.70%,106
438,2025,Felix Cotes,CPX,19,200,16.00%,14.50%,0.038,61.60%,106
439,2025,Walker Martin,A,21,482,14.30%,28.40%,0.15,44.20%,106
440,2025,Vaughn Grissom,AAA,24,418,8.90%,17.50%,0.17,46.70%,106
441,2025,Harold Gonzalez,DSL,18,177,20.90%,15.80%,0.096,39.00%,106
442,2025,Natanael Yuten,A,20,369,7.60%,25.50%,0.121,45.50%,106
443,2025,Hao-Yu Lee,AAA,22,579,11.20%,20.90%,0.163,44.70%,106
444,2025,Jansel Luis,A+,20,447,6.00%,16.30%,0.119,50.60%,106
445,2025,Robert Calaz,A,19,424,8.70%,25.90%,0.14,49.80%,106
446,2025,Johan Machado,DSL,17,237,15.20%,15.20%,0.093,36.40%,105
447,2025,Esmith Pineda,A,20,414,9.20%,21.00%,0.125,37.10%,105
448,2025,Adrian Placencia,A+,22,501,14.60%,30.10%,0.171,35.20%,105
449,2025,Oliver Tejada,CPX,18,230,9.10%,20.90%,0.132,40.10%,105
450,2025,Pablo Martinez,DSL,17,221,13.10%,13.60%,0.073,41.50%,105
451,2025,Narciso Polanco,A,20,524,13.90%,15.60%,0.092,46.20%,105
452,2025,Brett Squires,AA,25,496,9.70%,27.00%,0.163,38.40%,105
453,2025,Brandon Valenzuela,AA,24,374,10.70%,22.20%,0.159,38.20%,105
454,2025,Jimmy Crooks,AAA,23,430,8.40%,26.50%,0.167,45.30%,105
455,2025,Alec Briley,A+,24,438,8.90%,26.50%,0.162,37.40%,105
456,2025,Óscar Mercado,AAA,30,477,14.50%,14.30%,0.123,35.90%,105
457,2025,Chase Davis,AA,23,494,13.60%,29.60%,0.111,48.10%,105
458,2025,Rhylan Thomas,AAA,25,618,7.40%,5.20%,0.086,45.00%,105
459,2025,Frankeli Mesta,DSL,18,196,16.80%,19.40%,0.071,40.90%,104
460,2025,Raynel Delgado,AAA,25,474,10.10%,20.00%,0.097,45.60%,104
461,2025,Jacob Berry,AAA,24,469,10.40%,18.60%,0.133,33.90%,104
462,2025,Ryan Campos,A+,22,421,15.20%,17.60%,0.105,54.20%,104
463,2025,William Bergolla Jr.,AA,20,551,6.70%,4.70%,0.047,49.30%,104
464,2025,Ethan Workinger,AA,23,493,8.70%,18.30%,0.161,41.30%,104
465,2025,Andres Valor,A,19,462,11.00%,29.00%,0.141,33.90%,104
466,2025,Carlos Garces,DSL,18,191,14.70%,5.80%,0.128,37.20%,104
467,2025,Nick Yorke,AAA,23,440,8.20%,22.00%,0.12,52.00%,104
468,2025,Nate Mondou,AAA,30,552,11.80%,14.30%,0.113,39.40%,104
469,2025,Jorge Ruiz,A,21,550,8.50%,16.70%,0.079,54.80%,104
470,2025,Donte Grant,CPX,20,252,11.10%,24.20%,0.115,44.40%,104
471,2025,Abrahan Ramirez,A,20,403,16.90%,21.30%,0.064,48.70%,104
472,2025,Sandor Feliciano,DSL,17,153,7.20%,19.00%,0.105,42.90%,104
473,2025,Rosman Verdugo,A+,20,490,14.70%,32.20%,0.149,30.70%,104
474,2025,Nelson Marin,DSL,19,150,16.00%,19.30%,0.099,39.30%,104
475,2025,Christian Cerda,AA,22,383,13.30%,17.50%,0.212,34.60%,103
476,2025,Elias Reyno,DSL,17,184,20.70%,25.00%,0.093,41.50%,103
477,2025,Anthony Abreu,DSL,17,176,17.00%,38.10%,0.201,33.80%,103
478,2025,Eduardo Herrera,DSL,18,174,17.20%,23.60%,0.162,33.30%,103
479,2025,Jonah Cox,A+,23,597,9.00%,22.40%,0.141,49.00%,103
480,2025,Justin Foscue,AAA,26,453,9.90%,13.90%,0.213,37.10%,103
481,2025,Cooper Kinney,AA,22,501,7.20%,25.00%,0.144,46.70%,103
482,2025,Engel Paulino,CPX,18,178,16.30%,34.80%,0.137,33.70%,103
483,2025,Raylin Ramos,A,20,396,7.60%,25.30%,0.091,46.20%,103
484,2025,Ronald Hernandez,A+,21,393,10.70%,21.90%,0.112,49.80%,103
485,2025,Angel Ortiz,A+,22,494,9.30%,19.40%,0.155,40.90%,103
486,2025,Isaac Garcia,DSL,17,159,8.20%,8.20%,0.123,42.00%,103
487,2025,Caden Kendle,A+,23,371,8.90%,18.60%,0.146,43.40%,103
488,2025,Leo Bernal,AA,21,455,10.80%,16.90%,0.146,39.40%,103
489,2025,Santiago Pinto,DSL,19,177,8.50%,17.50%,0.147,47.90%,102
490,2025,Jared Dickey,A+,23,375,14.90%,13.60%,0.133,45.50%,102
491,2025,Carson McCusker,AAA,27,438,8.20%,33.80%,0.233,39.40%,102
492,2025,Niko Kavadas,AAA,26,527,14.20%,30.90%,0.244,33.10%,102
493,2025,Liordanys Menendez,DSL,17,153,13.70%,12.40%,0.095,43.70%,102
494,2025,Cayden Wallace,AA,23,481,8.30%,23.50%,0.134,35.40%,102
495,2025,Marcelo Alcala,CPX,19,168,8.30%,37.50%,0.247,43.00%,102
496,2025,Danny De Andrade,A+,21,495,8.70%,23.20%,0.158,41.40%,102
497,2025,Roderick Flores,CPX,18,171,18.10%,21.10%,0.106,35.40%,102
498,2025,Austin St. Laurent,A,22,521,13.40%,18.60%,0.07,55.30%,102
499,2025,Owen Carey,A,18,525,7.20%,15.60%,0.087,49.30%,102
500,2025,Guy Lipscomb,AA,24,372,9.70%,16.90%,0.109,38.80%,102
501,2025,Zavier Warren,AA,26,478,11.10%,23.60%,0.143,32.80%,102
502,2025,Nick Lorusso,AA,24,446,9.20%,24.20%,0.127,34.90%,102
503,2025,Sabin Ceballos,AA,22,420,11.20%,17.40%,0.106,41.30%,102
504,2025,Isais Chavez,DSL,17,153,12.40%,24.80%,0.192,24.70%,102
505,2025,Deivis Mosquera,DSL,20,161,13.00%,23.00%,0.069,34.10%,101
506,2025,Jorge Burgos,AA,22,407,10.60%,23.30%,0.18,36.10%,101
507,2025,Sammy Hernandez,A,21,360,12.80%,18.60%,0.058,38.90%,101
508,2025,Anthony Scull,A+,21,465,6.20%,23.00%,0.136,43.20%,101
509,2025,Garrett Martin,AA,25,408,6.90%,23.80%,0.167,37.30%,101
510,2025,Carlos Jorge,A+,21,469,11.10%,18.60%,0.103,49.80%,101
511,2025,Jose Monserrate,CPX,20,171,16.40%,24.00%,0.065,42.10%,101
512,2025,Luis Fragoza,CPX,18,169,10.10%,23.70%,0.08,52.70%,101
513,2025,Jose Ramirez,DSL,17,173,8.70%,16.20%,0.114,43.10%,101
514,2025,Junior Perez,AA,23,405,14.10%,28.60%,0.198,35.80%,101
515,2025,Juan Macero,DSL,17,202,12.40%,10.40%,0.067,44.90%,101
516,2025,Drew Compton,AA,24,448,10.00%,26.10%,0.09,41.60%,101
517,2025,Caleb Cali,AA,24,447,9.80%,31.50%,0.16,34.10%,101
518,2025,Starlyn Nunez,A,19,444,6.10%,20.50%,0.158,41.10%,101
519,2025,Jose Marcano,DSL,18,149,12.80%,10.10%,0.119,42.90%,101
520,2025,Aldo Gaxiola,CPX,19,225,11.10%,17.80%,0.076,46.70%,100
521,2025,Gilberto Celestino,AAA,26,426,12.00%,21.80%,0.11,62.80%,100
522,2025,Won-Bin Cho,A+,21,368,13.60%,23.60%,0.105,48.20%,100
523,2025,D'Angelo Ortiz,CPX,20,185,14.60%,18.40%,0.032,41.40%,100
524,2025,Jose Meza,A,22,531,15.10%,23.50%,0.114,43.20%,100
525,2025,Adam Retzbach,AA,24,446,10.10%,31.60%,0.158,42.40%,100
526,2025,Francisco Vilorio,DSL,18,217,13.80%,24.90%,0.087,47.80%,100
527,2025,Yohendry Sanchez,DSL,18,170,10.60%,13.50%,0.12,42.10%,100
528,2025,Ricardo Cova,A,21,377,5.00%,19.90%,0.125,50.20%,100
529,2025,Jared Sundstrom,AA,24,489,8.20%,29.70%,0.155,39.90%,100
530,2025,Santiago Leon,DSL,17,215,18.10%,18.10%,0.09,46.20%,100
531,2025,Edward Guribe,DSL,18,159,9.40%,17.00%,0.188,29.00%,100
532,2025,Frandy Lafond,DSL,18,176,18.80%,26.10%,0.122,28.40%,100
533,2025,Jamie Westbrook,AAA,30,430,10.00%,16.30%,0.134,47.50%,100
534,2025,Eduardo Beltre,CPX,18,195,10.80%,23.60%,0.164,36.30%,100
535,2025,Asbel Gonzalez,A,19,505,10.70%,17.00%,0.051,50.00%,100
536,2025,A.J. Vukovich,AAA,23,476,9.70%,27.10%,0.214,44.60%,100
537,2025,Luis Mendez,CPX,22,162,11.70%,13.60%,0.158,47.70%,99
538,2025,Manuel Pena,AA,21,470,5.10%,22.30%,0.172,44.80%,99
539,2025,Joe Naranjo,AA,24,418,14.60%,23.40%,0.072,52.00%,99
540,2025,Javi Vaz,AA,24,468,11.50%,9.20%,0.07,39.80%,99
541,2025,Leider Padilla,DSL,18,159,15.70%,27.00%,0.11,47.60%,99
542,2025,Sebastian De Andrade,CPX,19,186,14.50%,23.10%,0.065,51.40%,99
543,2025,Samuel Gil,A,20,362,13.80%,13.50%,0.062,47.40%,99
544,2025,Herlinton Herrera,DSL,18,162,17.30%,18.50%,0.111,34.80%,99
545,2025,Kendrick Herrera,CPX,18,208,13.50%,20.20%,0.057,49.20%,99
546,2025,Juan Mateo,CPX,18,210,10.00%,16.20%,0.043,51.70%,99
547,2025,Cristian Hernández,A+,21,507,10.50%,20.70%,0.113,47.10%,99
548,2025,Alejandro Nuñez,A+,20,402,6.50%,23.90%,0.131,38.40%,99
549,2025,Kevin Robledo,DSL,18,167,16.80%,19.80%,0.069,37.10%,99
550,2025,Cole McConnell,A+,24,358,11.70%,29.90%,0.089,50.30%,99
551,2025,Angel Guzman,CPX,19,167,17.40%,26.30%,0.14,40.00%,99
552,2025,Athanael Duarte,CPX,20,231,12.10%,24.20%,0.143,35.30%,99
553,2025,Carlos Torres,DSL,17,167,8.40%,10.20%,0.088,40.00%,99
554,2025,Cole Messina,A+,22,434,11.80%,16.60%,0.123,43.20%,98
555,2025,Jorge Quintana,CPX,18,229,10.50%,21.80%,0.139,43.90%,98
556,2025,Carson Williams,AAA,22,451,12.40%,34.10%,0.234,35.20%,98
557,2025,Angel Guzman,DSL,18,182,16.50%,14.30%,0.135,49.60%,98
558,2025,Anthony Gutierrez,A+,20,381,8.10%,20.70%,0.062,45.10%,98
559,2025,Darison Garcia,CPX,18,216,18.50%,21.80%,0.065,58.00%,98
560,2025,Johnny Olmstead,AA,24,373,7.20%,16.60%,0.153,38.40%,98
561,2025,Connor Hujsak,A,23,426,7.70%,28.90%,0.147,41.60%,98
562,2025,Carlos De La Cruz,AA,25,470,7.40%,33.00%,0.168,39.70%,98
563,2025,Daiverson Gutierrez,A,19,395,13.40%,14.70%,0.067,44.20%,98
564,2025,Andru Arthur,CPX,19,156,19.20%,30.80%,0.06,45.50%,98
565,2025,Romeo Sanabria,AA,23,499,7.60%,21.40%,0.119,40.50%,98
566,2025,George Wolkow,A,19,496,10.90%,29.60%,0.138,41.20%,98
567,2025,Givian Sirvania,DSL,17,179,12.80%,19.60%,0.108,33.70%,98
568,2025,Johan Macias,A,22,475,8.40%,14.10%,0.086,45.00%,98
569,2025,Joey Meneses,AAA,33,419,6.90%,14.80%,0.182,39.60%,98
570,2025,Brian Kalmer,A+,24,360,13.90%,25.30%,0.16,24.50%,98
571,2025,Alexey Lumpuy,A,21,429,7.90%,35.90%,0.154,44.40%,98
572,2025,Milan Tolentino,AAA,23,460,12.00%,34.30%,0.221,34.60%,98
573,2025,Pascanel Ferreras,AA,23,454,9.30%,24.40%,0.123,47.80%,98
574,2025,Ediel Rivera,CPX,19,185,9.20%,26.50%,0.118,48.00%,98
575,2025,Jose Fernandez,AA,21,511,6.30%,20.40%,0.183,45.10%,98
576,2025,Luis De La Cruz,CPX,18,199,11.60%,17.10%,0.084,49.20%,98
577,2025,Brandon Winokur,A+,20,529,8.30%,24.80%,0.162,45.10%,98
578,2025,Daniel Vazquez,A+,21,463,10.40%,20.10%,0.089,43.10%,97
579,2025,Spencer Nivens,AA,23,515,13.60%,21.20%,0.096,36.70%,97
580,2025,Ashly Andujar,CPX,17,217,6.90%,14.30%,0.037,63.90%,97
581,2025,Yimy Tovar,CPX,19,163,8.00%,20.90%,0.082,53.20%,97
582,2025,Mitch Jebb,AA,23,513,11.50%,10.90%,0.052,45.00%,97
583,2025,Gabriel Guanchez,DSL,18,172,10.50%,26.70%,0.233,46.40%,97
584,2025,Rodolfo Castro,AAA,26,525,10.30%,22.70%,0.186,43.80%,97
585,2025,Jefer Lista,DSL,17,233,16.30%,15.90%,0.034,42.50%,97
586,2025,Juan Brown,DSL,17,161,10.60%,30.40%,0.118,37.30%,97
587,2025,Thayron Liranzo,AA,21,394,11.90%,31.70%,0.145,39.40%,97
588,2025,Jose Devers,A+,22,516,6.00%,27.50%,0.175,43.40%,97
589,2025,Darell Hernaiz,AAA,23,445,10.30%,11.50%,0.119,44.60%,97
590,2025,Larry Suero,DSL,17,199,13.60%,22.60%,0.141,37.30%,97
591,2025,Bill Knight,AA,25,565,8.00%,20.70%,0.07,47.00%,97
592,2025,Leandro Pineda,AA,23,394,11.90%,22.80%,0.154,41.60%,97
593,2025,Marco Vargas,A+,20,408,11.80%,20.10%,0.056,41.90%,97
594,2025,Clay Dungan,AAA,29,625,11.70%,22.70%,0.175,44.60%,96
595,2025,Jorge Barrosa,AAA,24,456,11.80%,20.80%,0.137,42.60%,96
596,2025,T.J. White,A+,21,427,9.40%,26.70%,0.106,39.60%,96
597,2025,Lisbel Diaz,A,19,561,5.90%,18.70%,0.136,44.00%,96
598,2025,Luis Pino,A,21,413,13.10%,31.20%,0.136,34.90%,96
599,2025,Cristopher Polanco,DSL,17,222,23.40%,25.20%,0.055,44.40%,96
600,2025,Marco Luciano,AAA,23,555,15.30%,30.60%,0.199,42.00%,96
601,2025,Juarlin Soto,DSL,18,208,17.30%,14.40%,0.093,38.00%,96
602,2025,Kavares Tears,A,22,475,12.20%,29.10%,0.159,46.00%,96
603,2025,Christian Astudillo,DSL,18,182,14.30%,13.70%,0.101,48.20%,95
604,2025,Bernard Moon,A,20,451,8.60%,20.00%,0.131,46.00%,95
605,2025,Raily Liriano,DSL,18,215,7.90%,26.00%,0.155,37.20%,95
606,2025,Ariel Armas,A+,22,381,10.00%,18.40%,0.114,38.50%,95
607,2025,Samuel Gonzalez,DSL,18,206,11.70%,11.70%,0.076,45.50%,95
608,2025,Moisés Gómez,AA,26,444,8.60%,28.80%,0.132,24.30%,95
609,2025,Daniel Meza,DSL,17,170,20.60%,25.90%,0.015,60.00%,95
610,2025,Collin Price,AAA,25,449,10.00%,30.30%,0.199,30.90%,95
611,2025,Petey Halpin,AAA,23,553,9.20%,28.20%,0.164,27.30%,95
612,2025,Quinn McDaniel,A+,22,428,12.10%,28.70%,0.128,36.80%,95
613,2025,Joshua Francis,DSL,18,156,9.60%,12.80%,0.096,50.50%,95
614,2025,Yordany De Los Santos,A,20,512,7.80%,26.80%,0.139,47.00%,95
615,2025,Joe Vetrano,A+,23,414,11.10%,26.80%,0.137,49.00%,95
616,2025,Ryan McCarty,AA,26,377,10.90%,24.40%,0.095,36.50%,95
617,2025,C.J. Pittaro,A,23,413,12.60%,20.60%,0.077,56.90%,95
618,2025,Rubel Cespedes,AA,24,398,8.80%,16.80%,0.15,43.30%,94
619,2025,Yensi Rivas,DSL,18,164,12.80%,20.10%,0.051,54.50%,94
620,2025,Adrian Santana,A+,19,409,8.60%,12.00%,0.063,49.20%,94
621,2025,Marlon Quintero,CPX,18,176,4.00%,18.20%,0.075,46.00%,94
622,2025,Daniel Susac,AAA,24,407,8.60%,26.80%,0.208,46.60%,94
623,2025,Tim Locastro,AAA,32,414,8.70%,16.20%,0.163,36.80%,94
624,2025,Frainyer Chavez,AA,26,395,11.60%,21.80%,0.079,40.30%,94
625,2025,Yohandy Morales,AAA,23,433,10.60%,30.30%,0.152,50.80%,94
626,2025,Gerardo Rodriguez,CPX,19,170,5.90%,13.50%,0.104,38.00%,94
627,2025,Joshua Kuroda-Grauer,A+,22,366,7.10%,10.10%,0.069,46.60%,94
628,2025,Paulino Santana,CPX,18,239,8.80%,27.20%,0.147,46.20%,94
629,2025,Ruben Santana,A,20,366,10.70%,26.80%,0.13,43.80%,94
630,2025,Eddys Leonard,AAA,24,494,7.30%,19.20%,0.196,43.10%,94
631,2025,Devin Ortiz,AA,26,532,9.80%,18.20%,0.075,49.50%,94
632,2025,Zac Veen,AAA,23,412,8.50%,20.40%,0.178,46.90%,94
633,2025,John Michael Faile,A+,25,365,6.60%,27.90%,0.173,35.60%,94
634,2025,Roberto Campos,AA,22,403,8.90%,25.10%,0.111,46.30%,94
635,2025,Stone Russell,A,21,458,13.10%,18.30%,0.099,50.80%,93
636,2025,Grant McCray,AAA,24,510,10.80%,27.10%,0.167,47.40%,93
637,2025,Colby Jones,A,21,374,16.00%,20.90%,0.046,52.20%,93
638,2025,Ambioris Tavarez,A+,21,398,11.80%,34.90%,0.068,53.00%,93
639,2025,Jancory De La Cruz,CPX,19,156,15.40%,31.40%,0.108,51.30%,93
640,2025,D'Angelo Tejada,CPX,19,206,9.70%,31.60%,0.121,48.20%,93
641,2025,Eyeksson Rojas,CPX,19,151,8.60%,16.60%,0.076,50.00%,93
642,2025,Adriel Radney,DSL,18,209,12.00%,17.70%,0.136,50.40%,93
643,2025,Kevin Fitzer,A,23,469,8.50%,21.70%,0.105,37.80%,93
644,2025,Gage Miller,A+,22,356,13.50%,14.90%,0.1,40.00%,93
645,2025,Garrett Spain,AA,24,486,8.00%,27.00%,0.17,38.20%,92
646,2025,Druw Jones,A+,21,545,10.30%,23.30%,0.105,50.80%,92
647,2025,Nathan Hickey,AAA,25,514,11.50%,27.40%,0.174,41.20%,92
648,2025,Dillon Head,A,20,425,13.60%,19.10%,0.095,44.20%,92
649,2025,Arjun Nimmala,A+,19,543,10.10%,21.40%,0.156,41.90%,92
650,2025,Elias Perez,DSL,17,196,15.30%,19.90%,0.055,40.50%,92
651,2025,Nathan Martorella,AA,24,394,12.20%,19.00%,0.135,34.00%,92
652,2025,Dominic Fletcher,AAA,27,446,6.50%,19.50%,0.193,36.60%,92
653,2025,Engelth Urena,A,20,400,13.30%,19.30%,0.123,32.90%,92
654,2025,Taylor Young,AA,26,575,13.90%,15.80%,0.056,45.50%,92
655,2025,José Suárez,A,20,366,8.20%,27.00%,0.076,57.30%,92
