Name,category,PA,BB%,K%,ISO,GB%,wRC+
Aaron Altherr,2,2663,0.077363545651361,0.2051008683491688,0.1701912053440573,0.4149498248156312,118.08329779961072
Aaron Hicks,1,2288,0.1180794534585488,0.1569077696773395,0.1263244622133337,0.3512016993543022,103.64178455939812
Aaron Judge,3,1513,0.1145549717124472,0.2509069153993993,0.1989275733533293,0.3720547486716904,137.8342087130517
Abraham Toro,1,1465,0.0854789431267239,0.1486624354197059,0.1511037728730683,0.2911048076162781,104.19556697110264
Adalberto Mondesi,1,2199,0.0586426560434179,0.2435084458605212,0.1772301836636508,0.4399187103511443,98.4986654612247
Adam Duvall,1,1759,0.068950850869569,0.145779203739809,0.1709221410131698,0.2876167779166254,93.31255812356778
Adam Eaton,2,1400,0.1072603957010037,0.1297296768808667,0.1536077555460943,0.5747888837534745,156.66007634653812
Adam Engel,1,1841,0.0867437921794142,0.2360598246217019,0.1319764915539871,0.4345331512684391,106.42345466327076
Adam Frazier,1,1520,0.086534377935765,0.0996696220822552,0.0819291110529256,0.4936490058189234,127.81476354090329
Adam Jones,2,469,0.0614072488,0.1808102343999999,0.2171428568,0.3251612895999999,115.3318807571458
Adam Lind,2,403,0.0655086842699751,0.154838709244665,0.1522799038173697,0.3526343490342432,110.26103588538112
Adam Rosales,1,602,0.0929146949702064,0.1575028877106194,0.1959948053899705,0.2778248716050147,117.80949247850992
Addison Russell,1,830,0.0677667019666736,0.1587503143740846,0.1955944098735304,0.355766424857971,114.90641012282904
Adeiny Hechavarria,1,1548,0.060374800096218,0.164378238916477,0.1111969438667079,0.4982907304726321,90.09261036150176
Adolis Garcia,2,489,0.0585935944245333,0.2039296965226666,0.1719128368437333,0.4302000219114666,109.74445399273252
Adrian Gonzalez,3,119,0.1064425766666666,0.1344537813333333,0.050724638,0.348258706,58.2164861800385
Albert Almora Jr.,1,1589,0.0419473773286733,0.122645906258283,0.1211231418916254,0.4441012184268474,97.73704492585918
Alberto Callaspo,1,261,0.0858237544,0.0521072792,0.1203539823999999,0.3849056599999999,104.13082604171665
Alcides Escobar,1,1612,0.0541719685147552,0.1351883014678108,0.0980016402444715,0.4973136954403375,102.90967698765112
Alec Bohm,1,568,0.0792946360871532,0.1107688699996689,0.1570750873841563,0.3566664813411841,113.48106844582398
Aledmys Diaz,1,534,0.0425717850006242,0.118102372004744,0.1162463499272159,0.344609935825593,80.44632583047192
Alen Hanson,1,3161,0.0699499876315198,0.1677016248331208,0.1433859834010276,0.4851153604976556,110.05148451758694
Alex Avila,2,631,0.1025028551125082,0.1526622776044531,0.1261021785038638,0.3572029006242305,101.37555648019196
Alex Bregman,3,596,0.1028236307870871,0.074440240468463,0.1704215981863657,0.2634267658320368,126.318256418112
Alex Dickerson,1,1349,0.0518427485470138,0.1429937121732073,0.1489247584221195,0.3460902702450747,105.54363735934216
Alex Gonzalez,1,1113,0.0748727159688529,0.1185983822976939,0.0383712149991015,0.3890151402551662,67.71776867095848
Alex Presley,1,1899,0.0746972530769765,0.1519791329476587,0.1575253828369215,0.5014171373911094,120.48065659175734
Alex Rodriguez,3,457,0.0773158275784099,0.1006564551378556,0.0530505287600291,0.2766944245412108,69.54529351516034
Alex Verdugo,2,2043,0.0878183517926929,0.1143965047465538,0.1305573862044435,0.485209416504698,119.8789623716967
Alexi Amarista,1,1998,0.0681093962974295,0.1134112073898681,0.1117375342217558,0.4416209706234509,102.6259710001062
Alexi Casilla,1,657,0.0767123281887366,0.1108066966550989,0.0606281465923896,0.4528198862417047,80.097392104498
Allen Craig,2,1557,0.0763046205633933,0.1700705391523839,0.2113280955183243,0.4509980781254604,137.5538952961068
Amed Rosario,1,1885,0.0615747558078169,0.1724149317571051,0.1266491392160462,0.5105683191832109,118.61431689885362
Andrelton Simmons,1,1042,0.0576758291484944,0.0644124779623162,0.08454931402292,0.3782623709971331,92.55055013594476
Andres Torres,1,172,0.0930232553333333,0.1279069766666666,0.0544217686666666,0.46105919,60.67007985089824
Andrew Benintendi,2,571,0.0841346609247609,0.0808355851962861,0.1803157217889034,0.2560616640169002,119.5910152694671
Andrew McCutchen,3,1307,0.0929167511094136,0.1371306415771963,0.1232296956060789,0.4314369774714263,104.36658123867532
Andrew Romine,1,1801,0.0797911328713431,0.1166721240541561,0.0679920864621175,0.4116877749205624,81.54225119667646
Andrew Vaughn,2,229,0.0873362441513828,0.1018922847947598,0.1052437314352256,0.2729168834992722,86.29372709801987
Andrew Velazquez,1,2551,0.077579314122558,0.2522844178191785,0.1374183328876105,0.4705463645427203,103.37567781039968
Andy Dirks,2,959,0.0702884582034638,0.1088903920818065,0.0893946638109735,0.3492899487731359,82.62324674389762
Angel Sanchez,1,422,0.0762454231195146,0.1317743946097742,0.0697647410402426,0.4863621477751264,58.24417126006172
Anthony Gose,1,2897,0.0899144288015558,0.2441979692786737,0.125373515865149,0.5689200638923106,99.7400676895592
Anthony Rendon,3,152,0.1447368420666666,0.1206140349333333,0.2068376068,0.2207885298666666,140.29224146992797
Anthony Rizzo,3,1803,0.0966414635894373,0.2061489491934325,0.273882172658766,0.3582264600965154,144.10735611770224
Anthony Santander,2,1876,0.0652462841906733,0.1834141464757638,0.1590818447453143,0.3694165337701842,98.22168446570343
Arismendy Alcantara,1,3147,0.0763858393569656,0.2309971938286783,0.1740671978884209,0.4533551070325696,109.24146519758531
Asdrubal Cabrera,2,577,0.074323578463808,0.1191186803290454,0.1364327228870852,0.4408433734156202,122.10200189684424
Austin Hays,2,1261,0.0450491822320641,0.2012554694838833,0.2174531402141035,0.4042345112997957,118.016810426026
Austin Hedges,1,1430,0.0497180722643809,0.1705257881264433,0.1881521026707394,0.3695001183975112,111.02981125779792
Austin Jackson,2,1691,0.0819418605321298,0.2072184032883106,0.1257562282744312,0.4410321857601847,113.76550028467804
Austin Meadows,3,1844,0.0796811174972483,0.1646874447277822,0.1959155594596729,0.398923816741464,129.5091842148881
Austin Nola,1,1289,0.0986330470716309,0.1298519094038837,0.0564351854716707,0.3892391692260149,76.87152824194071
Austin Riley,3,1964,0.0859868131339546,0.2547829742417556,0.2304035430035097,0.3695128305171725,142.63846794713368
Austin Slater,2,1271,0.0909583634427265,0.1922309180605209,0.1480012781269077,0.525425330152004,126.65621645461
Avisail Garcia,1,2282,0.0403167744227517,0.2019081253703411,0.135340284783137,0.5702988580982187,122.9708395555213
Ben Gamel,1,2789,0.0772497761755975,0.175168112231805,0.1202130967110382,0.4668362559427454,115.01507871629843
Ben Paulsen,1,1807,0.0550783107514767,0.1757932864477239,0.1246531365846791,0.3670763020522211,75.40424186238951
Ben Revere,1,1755,0.0630620188571522,0.0820850184051253,0.0626388403640499,0.575317588761116,113.13695168066002
Billy Burns,1,1697,0.1075311085294542,0.1428757028165086,0.0561039943027878,0.5927548967614553,90.5984822786359
Billy Butler,2,371,0.1229110511051212,0.0840970349865229,0.1951555572873315,0.4076782923385444,115.58012497119674
Billy Hamilton,1,2258,0.0977392743420458,0.1953050034142723,0.0938002159996446,0.4855496674813622,100.08554828474873
Billy McKinney,1,2561,0.0982570669479762,0.1891026256852159,0.1792581695434382,0.3643397925596416,118.76685662385258
Blake DeWitt,1,1079,0.0841383527854384,0.117212296194191,0.1749036324811181,0.4403790631438358,107.07210456397902
Blake Swihart,1,1302,0.098456284422757,0.1587887978237383,0.1323409157535607,0.4500080943889999,110.95693583987232
Bo Bichette,3,1338,0.080268432290526,0.178622998112062,0.1857902306423791,0.445246357092904,124.92184993388452
Bobby Dalbec,1,1577,0.1009047113812437,0.2777534056006726,0.2365434712760277,0.3648250483187713,130.94206173981854
Brad Miller,1,1653,0.1174426369165359,0.1710276148506175,0.1935037050921353,0.4348159038045042,147.30763420267664
Bradley Zimmer,1,1447,0.11651963631886,0.2846615025061587,0.1733751490639605,0.4401084324854992,129.92864361547407
Brandon Barnes,1,1646,0.0449574723175374,0.1680842443438639,0.1294683344868367,0.265978315799919,71.54009186521168
Brandon Belt,3,746,0.1656091325188913,0.1902514506618527,0.2448383174882567,0.3503398040353026,165.09180105689572
Brandon Crawford,1,1002,0.0775700563960459,0.2162747492768443,0.1224876401085814,0.4803522214152794,85.28039950936328
Brandon Dixon,1,1647,0.0400565419714141,0.222761096227548,0.1251689212024876,0.3209256097099126,74.00896408780493
Brandon Drury,1,2709,0.061475648268532,0.1460728948027019,0.1403865009954572,0.4384238466652037,113.22649913510377
Brandon Guyer,3,1283,0.0492993982303831,0.1116644122748885,0.1504343286215383,0.2825959054158843,105.02092133151103
Brandon Lowe,3,1362,0.1148097432387309,0.2154871439865532,0.2230288968698032,0.3875253602436833,152.08283900571502
Brandon Moss,2,741,0.0831309035789473,0.2105263155508772,0.1620651888280701,0.3193532722526315,104.3789746453917
Brandon Nimmo,3,2415,0.1277975098695589,0.1991557956293169,0.146394113358897,0.4878965753323533,129.59526816856524
Brendan Rodgers,1,1612,0.0724588366540511,0.1870168265782512,0.2262032400012696,0.4267835321555672,134.9584958766158
Brennan Boesch,1,1574,0.0465923828101649,0.1599025957096754,0.1480498662381344,0.3659253815299957,86.74815811160516
Brent Morel,1,1245,0.0568714253497407,0.1536954805082445,0.1622629603059424,0.4272863167783927,126.17371385930916
Brett Gardner,2,874,0.1324355270027653,0.1613926246632162,0.1036435263073422,0.4929370622636656,113.21100796414134
Brett Lawrie,1,1361,0.0811874813136986,0.175250238363242,0.228821531502968,0.4190916553376712,137.55263505809336
Brett Wallace,1,1326,0.0822530215038402,0.1976902696313121,0.1721964701637844,0.4651037892394732,125.74208887092595
Brian Anderson,1,1752,0.0926194597199283,0.190125710697181,0.1814704335789101,0.4106531576041462,129.68386551636186
Brian Bogusevic,1,145,0.0809195398,0.1213793100666666,0.1360215054,0.4592592590666667,123.53652754779914
Brian Dozier,2,1402,0.0744306440670004,0.0907500707818353,0.1071931398401183,0.3170309357756174,106.18064064723517
Brian Goodwin,2,1786,0.1269621185825161,0.2377129286467708,0.1366988523522461,0.4323917377735433,103.38529401541886
Brock Holt,1,1620,0.0879980395605935,0.1189780743153478,0.1076546062670579,0.5167902123932262,140.00982778052128
Bryan LaHair,2,606,0.064686468,0.1663366336,0.1246376816,0.3091334888,75.00028564612369
Bryan Reynolds,3,1095,0.0738617551757693,0.158121967211869,0.1172240113331319,0.3534496849467452,102.12122595329365
Bryce Harper,3,452,0.0973464675775181,0.1501047473914301,0.1476914581244296,0.3474104098488592,103.6295494923537
Buster Posey,3,705,0.1096361520338352,0.1242124425162858,0.1749107575437115,0.4082552624848607,130.14173936534047
Byron Buxton,2,1435,0.0879206895065483,0.2353982430158295,0.2135628537622568,0.3863646809169136,144.95222605203625
C.J. Cron,2,1494,0.0555070870138679,0.1616632389615716,0.1902414783791401,0.3953054108371038,118.79322702499738
Caleb Joseph,1,1095,0.0569018104566894,0.1292775941727691,0.1189504281552964,0.2888762504932717,77.13718028566508
Cameron Maybin,1,1300,0.1155654355984705,0.211535347851797,0.1654503733279811,0.5534685381804623,131.9888144513671
Cameron Rupp,1,1336,0.0774460033976898,0.2461025623145875,0.1607038106528965,0.4186480520091728,108.78676198216584
Carlos Asuaje,1,1930,0.0930658398680922,0.1473244598781777,0.1498157796269984,0.4364086780382775,125.00519389228702
Carlos Correa,3,1221,0.1066002359195793,0.1582702821839452,0.2044647308719597,0.4765810058768707,147.67307423500196
Carlos Gomez,2,157,0.0764331208,0.117197452,0.1028571431999999,0.3438596488,82.45326511938289
Carlos Gonzalez,2,1817,0.0922404001838519,0.1941906081117011,0.1765668154714708,0.4451055035932528,120.4694024759802
Carlos Pena,2,249,0.0722891565461847,0.1419009367951807,0.1058057473895582,0.2605866498795181,74.61883405618879
Carlos Quentin,3,135,0.0533333328,0.0829629624,0.1808695656,0.3232323232,125.71498669117582
Carlos Santana,2,1675,0.1672285933733723,0.1532035193622232,0.2457613017912163,0.3758258294109582,162.12153198650307
Carson Kelly,1,2517,0.0938794163149875,0.1492645352991364,0.128537012930016,0.4262373948034217,106.25357489859122
Casey McGehee,1,429,0.0683760682,0.1247863246666666,0.1088541666666666,0.3584137186666666,77.22527251051898
Casper Wells,1,1179,0.0796900219402077,0.1892326978756834,0.203309213369005,0.2868325711010205,113.6275482449972
Cavan Biggio,2,1531,0.170919906003505,0.2159837614971508,0.1983150250975122,0.3337218024795751,138.62683062199625
Cedric Mullins,2,2237,0.0786966658212368,0.1528006047992761,0.1547570958341285,0.4195828245973876,101.66667309476968
Cesar Hernandez,1,3196,0.0770873045657911,0.1614496484779555,0.0967648432000572,0.5649552902511477,105.96803826345874
Chad Pinder,1,1584,0.054310124209181,0.2208054714616789,0.1686882614200203,0.4426155661133143,109.48763278633768
Charlie Blackmon,2,1590,0.0710704578278643,0.1220651307925096,0.1881070534963886,0.4391938844073472,130.22197500406608
Charlie Culberson,2,3123,0.0456085303490909,0.193096573917113,0.1499502900642938,0.4573244283749217,92.90085917313492
Chas McCormick,2,1075,0.1182556136547782,0.1361197305189269,0.1432249376108919,0.3924530871556481,104.1167352700503
Chase Headley,2,817,0.114879728773043,0.2047573323114567,0.2335276203829963,0.3228593513901503,142.81512747330373
Cheslor Cuthbert,1,2417,0.0878258474184631,0.1541450469091426,0.1460357385278752,0.4488563110586338,104.76908254521824
Chris Carter,2,3190,0.1214799835156577,0.2059726755945617,0.2446351492948768,0.3345532805462212,139.05466291163663
Chris Coghlan,1,1183,0.1164975809966023,0.1093404602452291,0.1663394505180206,0.4506409398313088,136.9113381716992
Chris Davis,2,1700,0.0863894557876102,0.2310358430292756,0.2474429330503989,0.3517054020836344,139.3990322207153
Chris Getz,1,776,0.0912280582318234,0.1011396072449311,0.115800410273038,0.4414500228114816,111.81634522946293
Chris Heisey,2,1514,0.0792615285028317,0.136985816507908,0.187107533019447,0.3378142743292361,138.5534338402797
Chris Johnson,2,1394,0.0514444714857939,0.1946411307727628,0.1610597437320821,0.4371732931928287,99.33131768519588
Chris Nelson,2,1409,0.0912486019245897,0.1669537694691921,0.1701879657647478,0.4359332126671729,110.78510477426356
Chris Owings,1,2079,0.036317790816383,0.1982621200430085,0.1447742371661788,0.4602377814737856,104.51236010584412
